elbow_angle,back_angle,hip_angle,knee_angle,exercise
171.3115359439358,170.3241363924193,166.82496545134353,170.30356790885833,pushup
178.6217359418292,162.21943108014725,156.04911536586926,147.8603992361197,pushup
171.86627835676086,121.18472713758612,111.48134943457872,150.2878852860092,pushup
171.47026041237297,125.54051096763696,120.18451181855066,164.80459323505167,pushup
170.87659701110556,144.2711288762464,145.0228430635696,177.76345691477098,pushup
169.84557758342723,160.07314470490093,121.7735399957572,128.10240494195716,pushup
177.76685893394662,172.3094596252299,169.59908530603673,172.4262030481146,pushup
164.7117739032879,177.9801650264627,165.62457398854377,145.44839703669413,pushup
164.0406038641036,171.9184451756157,154.615331684745,131.08232330062867,pushup
179.25115707555383,174.4178036383576,171.79621552539732,172.55553965229103,pushup
179.61646806633595,173.97775582791607,172.2625454560099,174.90424407277146,pushup
165.23815360589987,179.63701829932543,165.00298020023263,140.2025816528232,pushup
156.86091721497172,177.95893821815915,167.63724538543678,135.93356715812976,pushup
179.2181360098645,173.91779567562833,171.9202815921823,174.948743601684,pushup
158.21229700908648,179.5106668044647,169.38549575798166,157.0730665794524,pushup
91.15036448564932,178.25460901446186,170.8122028177215,155.5250328252338,pushup
71.60293677046248,179.95898097596626,165.2423860411404,152.35682814935865,pushup
60.09845706459441,174.61333584424077,164.17233354297454,158.34844720160473,pushup
130.91883387440504,177.28468833642768,169.1087539055886,162.5195300605494,pushup
167.25708008807985,172.77364647195736,179.16250323587195,162.57342744982728,pushup
164.67619060091434,171.01324278551664,178.43969527351825,163.79788285583618,pushup
159.0037834073829,168.304671706668,178.58844865176147,158.65029951729298,pushup
95.49147532076358,175.430521026932,174.1260846165583,158.6433683723451,pushup
75.88484406401979,179.3913736810632,172.8944851648024,164.8065582391883,pushup
86.80918815872764,177.01308856189354,172.8297695349471,159.76598145795046,pushup
129.33017141382942,179.69517033194356,171.25389067383898,160.7928901268994,pushup
167.07286340988057,178.34846388411827,173.54979452202903,162.88793808108366,pushup
166.69215972645384,179.16117112070197,170.0319130804873,160.52878689449253,pushup
156.95077692922038,178.44869766700512,171.76166051166763,159.75737466920543,pushup
133.07840742148292,172.673807240381,169.23715481557215,172.55610267844307,pushup
69.92813801343246,170.96424095664264,164.68677698617515,166.13742272451353,pushup
115.34153679345286,170.25275913914908,165.5167532374173,169.91686158900245,pushup
164.23897816808383,172.9599429683782,170.92027230304117,175.96575311535912,pushup
123.32666508490284,169.47180439789915,163.81247697507882,167.65570170621027,pushup
50.36765214199488,160.31306670012697,154.07412390735385,165.69509659100848,pushup
168.36416180893804,174.75222976134023,175.92960369737787,177.45103314198366,pushup
114.5605054482125,169.30335237661447,164.4787982044073,168.81711991051017,pushup
156.87769621653143,169.32676477582626,164.73493129220444,170.3784432542959,pushup
169.8439749093357,165.3479808529638,160.92643554803456,171.03273068170196,pushup
143.3725374258691,169.2512832721399,164.18539782095183,169.4292371797745,pushup
78.0992151763366,168.0936317573408,163.04351911595353,168.7307597348103,pushup
55.134203687365776,173.35807094477985,165.31364552581996,161.93898278974643,pushup
113.178849819058,162.54104287304483,155.59689663351395,164.04325530273675,pushup
109.59624618126472,157.74985923309168,168.27951255724903,156.88691601015503,pushup
157.10120571871252,172.56271072129704,167.49158986000623,165.6466536761587,pushup
108.34103483212152,172.48742461387977,171.932262291445,178.71845274856992,pushup
133.03504846018146,178.5551886696825,167.77565904923554,141.38498675577569,pushup
97.45391673316232,143.79251295700797,157.48075307370334,147.47687414873332,pushup
146.5838450078883,168.07992279648053,162.992937923575,167.19906601608008,pushup
114.91878629127596,176.08972610292977,174.20375946240034,175.6849065903815,pushup
140.4886655951282,178.68558591365473,167.331844393215,149.7316871527182,pushup
83.3608894821455,151.15747654281012,162.89100659346923,155.6612817582709,pushup
137.02080052418003,168.70453295537416,160.64205633947125,159.2054579246704,pushup
156.7868383006214,169.50403947863072,162.82140795433602,163.8048870151042,pushup
88.92864064541646,168.9604965512106,169.01656741801503,179.87795420467074,pushup
30.10257431389188,168.38003029328777,162.50723876572823,167.61475388423625,pushup
157.5238493245504,170.95447091188095,166.6949176474419,167.93187866714757,pushup
108.33245165801168,171.68698685020496,170.7249737012906,177.7512752945918,pushup
130.8967445566643,179.50596036464404,169.59813560970176,149.47511443073483,pushup
92.50218669037568,145.49394494482266,158.99504572549046,148.72131480800513,pushup
145.56115593176443,169.88998344533707,165.81722946067617,170.14933425753728,pushup
114.40907200605432,175.04092051232342,173.85216701210842,177.2412997435998,pushup
139.5595575772568,179.9878940147465,169.0703269227696,151.74494066379685,pushup
90.01800565051592,151.70867224948978,160.84006063978413,158.67238446629594,pushup
137.47521637015302,172.2757236145474,167.57455933071228,168.65039160754708,pushup
