elbow_angle,shoulder_angle,back_angle,hip_angle,knee_angle,label
130.76479020317151,47.15675190655744,174.97734853666532,176.58042523252593,176.45131802609555,correct
141.9266046747696,49.480767535745315,169.32136921902568,171.2642892363688,175.73731365270928,correct
141.9266046747696,49.480767535745315,169.32136921902568,171.2642892363688,175.73731365270928,correct
144.85462158050504,50.90319391642297,170.28299725974486,170.00481958058626,179.36469555468966,correct
158.2737935403494,54.714342996399985,173.7443541205996,176.92332407908526,172.39701363846143,correct
167.28729868298177,60.188685088861625,179.85197593766625,178.14166928743174,175.90193148297837,correct
167.28729868298177,63.17195024669371,175.34594378641086,176.11399875340604,178.1891660200269,correct
167.6899697251042,62.35295863719335,176.5676064380336,177.3356614050288,178.1891660200269,correct
169.25382804700908,61.096324640495844,179.38809875663603,179.84384627636882,178.1891660200269,correct
168.85511309093036,59.60125704732992,176.7397943970908,177.17899250920405,178.96223787578597,correct
159.71461890258578,59.10116333609291,177.9000307265141,177.10163841500116,178.1394005392152,correct
158.45486298921222,55.89584469133591,172.7136642982181,172.7872192250303,179.83080729263258,correct
140.16202422085547,54.19720142751239,175.9001941140679,178.70140211581963,173.42471067473994,correct
139.03232548649416,51.5419031289061,170.41703688651864,170.27145906523432,179.67094583891975,correct
121.19680283910293,37.61745583858781,166.4877123199654,171.02158510618204,170.11617861508645,correct
121.19680283910293,37.61002185465163,166.9050166268688,171.5203694664865,169.6099602708458,correct
121.19680283910293,38.75074738234192,168.70116945489522,173.7780834304258,168.49297183459683,correct
121.19680283910293,39.69645793650973,169.929084783156,175.40912257999258,167.80764323919783,correct
133.18626864010218,42.42136524761016,162.93665126064468,163.76713898898825,178.12683663470727,correct
140.3355490205414,45.66675471926425,166.65575839504388,169.01433273330122,174.4813058849438,correct
153.38919587159393,50.097399737979,167.96229417818563,168.88881142595523,177.77363948910178,correct
160.79512842060052,51.82388380684762,170.17338919771993,170.60341151491508,178.92614512618434,correct
167.70886332090515,58.28854857002387,176.47356078844325,177.1032049079549,178.47896415918353,correct
167.70886332090515,58.28854857002389,176.47356078844328,177.1032049079549,178.47896415918353,correct
169.3138782608197,58.10043054197957,176.08292270469764,178.17547966887992,174.79496150508152,correct
169.3138782608197,58.10043054197957,176.08292270469764,178.17547966887992,174.79496150508152,correct
169.3138782608197,58.10043054197957,176.08292270469764,178.17547966887992,174.79496150508152,correct
146.75288498760355,52.695303129428446,173.33176637748335,174.3909116285244,177.32506696368034,correct
141.22097226892834,51.33409181270516,175.08824818940994,177.97720799769334,172.56491836251283,correct
132.7846202924792,44.903185842285,168.21807018160365,172.45911249767354,169.80075063976545,correct
123.17906509297353,35.206421585424025,164.5810567651425,171.15798882043475,164.50356133845023,correct
123.17906509297353,35.206421585424025,164.5810567651425,171.15798882043475,164.50356133845023,correct
143.1914926845375,46.37743334386718,168.77606817195095,174.1498633199229,167.1325471219263,correct
155.4337898440586,55.72676867876171,173.30973454982689,174.20028923624062,177.7340580781607,correct
157.8395146801546,53.68684462901021,170.81876548338735,171.56056384535663,178.11008770483645,correct
163.84784414486427,56.28054953434363,172.88566193790106,176.2186924868212,171.76987805033505,correct
167.02979977570902,55.58595614604061,173.4069122943669,174.1495038472193,178.15612185499623,correct
169.11014672452927,51.62270793852467,165.70853211140349,168.6631564774049,172.96107919699273,correct
168.25015649326897,52.914965557102605,165.70853211140349,165.7168012380165,179.9801656257685,correct
168.25015649326897,52.914965557102605,165.70853211140349,165.7168012380165,179.9801656257685,correct
168.25015649326897,52.914965557102605,165.70853211140349,165.7168012380165,179.9801656257685,correct
167.25100144811682,60.861563380467146,177.60063792629438,179.70102578447094,174.94169394783074,correct
152.18772500693152,56.923771707768296,173.86740366434574,174.98367988522995,177.26442023291725,correct
149.44036643780936,52.154903434320374,167.15226606054165,170.94995381669074,170.7219259118828,correct
140.9508774025436,50.17919595146278,169.0243448271875,173.8632436281108,168.03608485017486,correct
136.3338149533363,40.22393624880745,158.25715263578513,161.38548286809922,172.99216613337902,correct
136.3338149533363,40.22393624880745,158.25715263578513,161.38548286809922,172.99216613337902,correct
136.3338149533363,40.22393624880745,158.25715263578513,161.38548286809922,172.99216613337902,correct
145.75338738462975,47.6694498892546,161.39867909778744,162.26867872536144,178.00907365677793,correct
146.0634488626979,47.74460163409126,164.27681636230596,167.4665653376759,172.11717750065665,correct
163.52098313950032,50.77585393023048,164.1824318817043,164.7063432865912,178.71788815576923,correct
165.26867922386126,54.13754170625007,170.47039083496944,170.36475146229785,179.74446334464656,correct
167.8463865707422,59.01376594128271,176.81811449512887,178.42877022612976,176.06995771408867,correct
167.8463865707422,59.01376594128271,176.81811449512887,178.42877022612976,176.06995771408867,correct
172.80812635007365,60.90276422901966,176.81811449512887,178.42877022612976,176.06995771408867,correct
161.20994849430372,53.00556036485355,169.31293307289332,167.31827093318168,175.22663354535962,correct
157.2202676534626,52.076993567090135,169.36809301099416,170.30703329440507,177.69316295708157,correct
142.13238707067157,50.77286368443353,171.0151812610889,173.6915434055801,173.86551392103271,correct
134.44597632854735,45.88846122782212,170.70153488522195,172.78381197283932,175.24022038115768,correct
130.82987942768716,39.43029697251092,165.42799098226857,167.98076226866863,174.19937585628304,correct
130.82987942768713,43.71151278965538,172.2619780858131,176.56536659865645,169.89598734343969,correct
130.82987942768713,43.71151278965538,172.2619780858131,176.56536659865645,169.89598734343969,correct
145.6935681063752,50.22616390452758,169.65518965994758,170.68613721548232,177.79334929409512,correct
154.57227731184832,49.52423884147233,161.3826161800188,163.55145199855062,175.34740024249848,correct
156.99356719292336,49.099662540476274,160.93638973351005,163.85578927476365,173.57474241587883,correct
166.87634978817303,51.65518670229937,164.96203036571478,166.48993110431522,176.27005901553431,correct
168.88021422597416,51.05869781749412,165.21210382449482,165.6028809736406,179.03474042748772,correct
164.9757737717066,51.54937429638312,166.37081222561224,167.31038887603785,177.62550882516558,correct
148.58272434196854,49.04020401840422,164.43155592121113,166.59142235364433,174.49761123968548,correct
155.92241024106258,57.00595404753493,171.19083098611193,175.40041295139767,169.2881570928801,correct
